score,feature
1.0,mfcc6_kurtosis
1.0,mfcc5_kurtosis
1.0,keywordIUSubjectWoman
1.0,keywordIUObjectWindow
1.0,keywordIUObjectStool
1.0,getImagabilityScore
1.0,binaryIUSubjectWoman
1.0,binaryIUSubjectGirl
1.0,binaryIUObjectWindow
1.0,binaryIUObjectStool
1.0,binaryIUObjectSink
1.0,binaryIUObjectCurtains
1.0,binaryIUActionStoolFalling
1.0,age
1.0,RatioPronoun
1.0,NP_to_PRP
1.0,NP_to_DT_NN
1.0,MeanWordLength
0.998181818182,ADVP
0.992727272727,NumAdverbs
0.990909090909,mfcc7_kurtosis
0.987272727273,mfcc8_kurtosis
0.983636363636,AvgPPTypeLengthNonEmbedded
0.965454545455,binaryIUPlaceExterior
0.963636363636,PProportion
0.96,keywordIUObjectCurtains
0.956363636364,PP
0.950909090909,VP_to_VBG
0.943636363636,mfcc4_kurtosis
0.905454545455,AvgPPTypeLengthEmbedded
0.814545454545,NumNouns
0.801818181818,mfcc10_kurtosis
0.8,keywordIUObjectSink
0.8,binaryIUObjectCookie
0.754545454545,proportion_below_threshold_0.3
0.754545454545,PPTypeRate
0.74,keywordIUObjectCookie
0.74,NumInflectedVerbs
0.732727272727,mfcc7_skewness
0.716363636364,binaryIUActionWaterOverflowing
0.667272727273,getConcretenessScore
0.665454545455,VP_to_AUX_ADJP
0.618181818182,NumSubordinateConjunctions
0.614545454545,keywordIUPlaceExterior
0.56,VP_to_AUX_VP
0.554545454545,VPProportion
0.523636363636,mfcc13_kurtosis
0.494545454545,mfcc12_kurtosis
0.494545454545,NumDeterminers
0.485454545455,C_T
0.483636363636,mfcc3_kurtosis
0.465454545455,AvgVPTypeLengthNonEmbedded
0.454545454545,MLS
0.445454545455,S
0.445454545455,DC_T
0.430909090909,AvgVPTypeLengthEmbedded
0.389090909091,MLT
0.389090909091,C_S
0.378181818182,mfcc11_kurtosis
0.367272727273,INTJ
0.36,avg_cos_dist
0.345454545455,T
0.332727272727,getSUBTLWordScores
0.32,mfcc5_skewness
0.316363636364,CN_T
0.298181818182,CT_T
0.290909090909,mfcc9_kurtosis
0.276363636364,INTJ_to_UH
0.243636363636,mfcc1_skewness
0.243636363636,RatioNoun
0.218181818182,binaryIUActionBoyTaking
0.218181818182,ADJP
0.207272727273,AvgNPTypeLengthEmbedded
0.154545454545,getFamiliarityScore
0.127272727273,VP_T
0.127272727273,RatioCoordinate
0.123636363636,keywordIUSubjectGirl
0.118181818182,mfcc8_skewness
0.0890909090909,NumCoordinateConjunctions
0.0818181818182,mfcc5_vel_skewness
0.0745454545455,proportion_below_threshold_0.5
0.0472727272727,mfcc10_vel_skewness
0.0381818181818,TTR
0.0290909090909,DC_C
0.0272727272727,VP
0.0236363636364,mfcc10_accel_mean
0.0236363636364,binaryIUActionWomanDryingWashing
0.0218181818182,mfcc6_accel_skewness
0.0109090909091,binaryIUSubjectBoy
0.0109090909091,VP_to_AUX
0.00909090909091,MeanLengthOfSentence
0.00727272727273,mfcc12_accel_mean
0.00181818181818,tree_height
0.00181818181818,binaryIUPlaceKitchen
