score,feature
1.0,proportion_below_threshold_0.3
1.0,mfcc8_kurtosis
1.0,mfcc7_kurtosis
1.0,mfcc6_kurtosis
1.0,mfcc5_kurtosis
1.0,mfcc4_kurtosis
1.0,mfcc10_kurtosis
1.0,keywordIUSubjectWoman
1.0,keywordIUObjectWindow
1.0,keywordIUObjectStool
1.0,keywordIUObjectCurtains
1.0,getImagabilityScore
1.0,binaryIUSubjectWoman
1.0,binaryIUSubjectGirl
1.0,binaryIUPlaceExterior
1.0,binaryIUObjectWindow
1.0,binaryIUObjectStool
1.0,binaryIUObjectSink
1.0,binaryIUObjectCurtains
1.0,binaryIUObjectCookie
1.0,binaryIUActionStoolFalling
1.0,age
1.0,VP_to_VBG
1.0,RatioPronoun
1.0,PProportion
1.0,PPTypeRate
1.0,PP
1.0,NumNouns
1.0,NumAdverbs
1.0,NP_to_PRP
1.0,NP_to_DT_NN
1.0,MeanWordLength
1.0,AvgPPTypeLengthNonEmbedded
1.0,AvgPPTypeLengthEmbedded
1.0,ADVP
0.996666666667,VP_to_AUX_ADJP
0.996666666667,NumInflectedVerbs
0.99,keywordIUObjectSink
0.986666666667,mfcc7_skewness
0.966666666667,keywordIUObjectCookie
0.956666666667,NumSubordinateConjunctions
0.946666666667,keywordIUPlaceExterior
0.933333333333,binaryIUActionWaterOverflowing
0.9,VP_to_AUX_VP
0.886666666667,getConcretenessScore
0.863333333333,C_T
0.853333333333,VPProportion
0.843333333333,S
0.836666666667,mfcc12_kurtosis
0.82,MLS
0.803333333333,NumDeterminers
0.79,AvgVPTypeLengthNonEmbedded
0.78,AvgVPTypeLengthEmbedded
0.776666666667,DC_T
0.736666666667,mfcc13_kurtosis
0.733333333333,C_S
0.7,MLT
0.676666666667,mfcc3_kurtosis
0.66,T
0.643333333333,INTJ
0.623333333333,avg_cos_dist
0.61,mfcc11_kurtosis
0.603333333333,getSUBTLWordScores
0.576666666667,CN_T
0.52,mfcc9_kurtosis
0.506666666667,CT_T
0.5,mfcc5_skewness
0.473333333333,INTJ_to_UH
0.453333333333,RatioNoun
0.443333333333,mfcc1_skewness
0.41,binaryIUActionBoyTaking
0.4,ADJP
0.35,AvgNPTypeLengthEmbedded
0.256666666667,VP_T
0.233333333333,RatioCoordinate
0.23,getFamiliarityScore
0.18,mfcc8_skewness
0.163333333333,mfcc10_vel_skewness
0.16,keywordIUSubjectGirl
0.156666666667,mfcc5_vel_skewness
0.126666666667,NumCoordinateConjunctions
0.103333333333,proportion_below_threshold_0.5
0.0733333333333,mfcc10_accel_mean
0.0566666666667,TTR
0.0533333333333,DC_C
0.0466666666667,binaryIUActionWomanDryingWashing
0.0333333333333,binaryIUSubjectBoy
0.03,VP_to_AUX
0.02,mfcc12_accel_mean
0.01,binaryIUPlaceKitchen
0.01,VP
0.00666666666667,MeanLengthOfSentence
0.00333333333333,mfcc6_accel_skewness
