score,feature
0.0319110884006,RatioPronoun
0.02738791423,mfcc8_mean
0.0238501659554,AvgVPTypeLengthEmbedded
0.0185053981107,keywordIUSubjectWoman
0.0131578947368,energy_accel_mean
0.0063806777217,VPProportion
0.00594965675057,binaryIUPlaceExterior
0.00594343000358,mfcc8_kurtosis
0.00466666666667,CN_T
0.00462519936204,MeanWordLength
0.00461538461538,AvgVPTypeLengthNonEmbedded
0.00459861775651,getSUBTLWordScores
0.00445773524721,getImagabilityScore
0.00381578947368,CP_T
0.0037865497076,C_T
0.0037707906129,keywordIUObjectCookie
0.0033014354067,binaryIUObjectSink
0.00303461356093,mfcc5_vel_skewness
0.00277914412199,binaryIUSubjectGirl
0.00208333333333,mfcc11_accel_mean
0.00204260651629,NumInflectedVerbs
0.00202429149798,mfcc2_kurtosis
0.00169779286927,MeanLengthOfSentence
0.00149253731343,binaryIUActionWaterOverflowing
0.00138224348751,mfcc1_kurtosis
0.00137844611529,NumInterjections
0.0012360446571,binaryIUObjectCurtains
0.00111111111111,getLightVerbCount
0.00096208262592,mfcc12_kurtosis
0.000877192982456,mfcc1_vel_var
0.000786448880823,C_S
0.000695335900727,mfcc13_kurtosis
0.000542593597396,mfcc6_kurtosis
0.000189198486412,ADJP
7.8165711308e-05,keywordIUObjectStool
0.0,mfcc8_accel_mean
0.0,NumDeterminers
0.0,MATTR
-0.00030959752322,mfcc5_skewness
-0.000378787878788,mfcc12_accel_mean
-0.000401427297056,MLS
-0.000418196654427,NumSubordinateConjunctions
-0.000444444444444,avg_cos_dist
-0.000536062378168,mfcc11_skewness
-0.000537634408602,PP
-0.000546448087432,RatioNoun
-0.000559910414334,proportion_below_threshold_0.5
-0.00060251639199,ADVP
-0.000605386706202,VP_to_AUX_ADJP
-0.00068562210123,VP_to_VBG
-0.000718664130205,PPTypeRate
-0.000781499202552,NP_to_PRP
-0.000793650793651,mfcc10_vel_mean
-0.000877192982456,mfcc8_skewness
-0.000895467836257,PProportion
-0.000897129186603,proportion_below_threshold_0.3
-0.000914520343412,NumAdverbs
-0.000955165692008,NumNouns
-0.000973587815693,AvgPPTypeLengthEmbedded
-0.00102723915051,mfcc3_kurtosis
-0.00104835258879,TTR
-0.00106934001671,NP_to_DT_NN
-0.00120614035088,DC_C
-0.00142021720969,mfcc7_skewness
-0.00156320287899,keywordIUObjectSink
-0.00160183066362,binaryIUActionBoyTaking
-0.00163996948894,mfcc2_var
-0.00195681511471,tree_height
-0.00219298245614,mfcc1_skewness
-0.00223684210526,INTJ_to_UH
-0.00238331678252,MLT
-0.00238534933826,VP_to_AUX_VP
-0.00241486068111,INTJ
-0.00284043441938,mfcc10_vel_skewness
-0.00289148797921,binaryIUObjectCookie
-0.00301857585139,mfcc6_accel_skewness
-0.00338084795322,mfcc10_accel_mean
-0.00341478696742,binaryIUObjectDishes
-0.00388888888889,keywordIUSubjectGirl
-0.0039242843952,mfcc4_kurtosis
-0.00395292027537,keywordIUPlaceExterior
-0.00410526315789,binaryIUPlaceKitchen
-0.00417862838915,binaryIUObjectStool
-0.00425601039636,CT_T
-0.00448452592155,mfcc10_kurtosis
-0.00473405736564,T
-0.00498405103668,VP
-0.00503573749188,mfcc6_accel_mean
-0.00555555555556,keywordIUPlaceKitchen
-0.00560053981107,VP_to_AUX
-0.00601851851852,keywordIUObjectWindow
-0.00607655502392,mfcc11_kurtosis
-0.00752539242844,NumCoordinateConjunctions
-0.00799935618864,keywordIUObjectCurtains
-0.00816133470932,mfcc7_kurtosis
-0.00821524966262,DC_T
-0.008352402746,S
-0.00853070175439,getFamiliarityScore
-0.00866028708134,binaryIUSubjectWoman
-0.0115583075335,mfcc6_skewness
-0.0119298245614,mfcc8_var
-0.0126315789474,NPProportion
-0.012813283208,getConcretenessScore
-0.0146578947368,AvgPPTypeLengthNonEmbedded
-0.0152046783626,mfcc9_kurtosis
-0.0158293460925,binaryIUActionStoolFalling
-0.0166905901116,age
-0.0176017874876,mfcc5_kurtosis
-0.018293460925,binaryIUObjectWindow
-0.0185916179337,RatioCoordinate
-0.0197243107769,binaryIUActionWomanDryingWashing
-0.0198830409357,binaryIUObjectWater
-0.0242891712039,mfcc5_mean
-0.0298245614035,NPTypeRate
-0.0299707602339,mfcc10_mean
-0.0420504385965,binaryIUSubjectBoy
-0.0422807017544,AvgNPTypeLengthEmbedded
-0.0521419828641,VP_T
-0.059649122807,ff_var
